Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Department of Agriculture/COVER CROP,WALNUT HILL FARMS INC,Walnut Hill Farms Inc,21643,2014,58190,Cover Crop Program Grant,Grant,1,06/30/2014 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Heartly House, Inc.","Heartly House, Inc.",21705,2017,36890,Maryland Victims of Crime,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration/Low-to-Moderate Income (LMI) Community Grants,Rebuilding Together Montgomery County (FY16),Rebuilding Together Montgomery County (fy16),20879,2016,100000,The low and moderate income sector,Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture - Conservation Grants,Shellcross Farms LLC,Shellcross Farms Llc,21617,2015,68223.5,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,"TurnAround, Inc. (Baltimore County)","Turnaround, Inc. (baltimore County)",21204-4804,2011,69974.41,Sexual Violence Victims Services,Grant,1,06/30/2011 12:00:00 AM
Department of Business and Economic Development - Maryland State Arts Council,Worcester County Arts Council Inc,Worcester County Arts Council Inc.,21811,2015,92576,MD State Arts Council Community Arts Development Grant,Grant,1,06/30/2015 12:00:00 AM
Department of Aging/Congregate Housing,Diakon Luther Social Ministries,Diakon Luther Social Ministries,19562,2009,57493,Congregate Housing Services,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,A N HARPER & SON INC,A N Harper & Son Inc,21631,2017,84462.5,Cover Crop,Grant,1,06/30/2017 12:00:00 AM
Boards and Commissions/Children's Justice Act Committee,"Maryland Crime Victims' Resource Center, Inc.","Maryland Crime Victims' Resource Center, Inc.",20774,2013,484785.71,Child Victim's Criminal Justice Training,Grant,1,06/30/2013 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Johns Hopkins University,Johns Hopkins University,21218,2013,16278132,Sellinger Formula Aid,Grant,1,06/30/2013 12:00:00 AM
Governor's Office of Community Initiatives,Habitat for Humanity of the Chesapeake,Habitat For Humanity Of The Chesapeake,21217,2018,159961.47,AmeriCorps State Service funding,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"LUTHY, JOHN","Luthy, John",21613,2009,94472.33,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Department of Labor Licensing and Regulation - Adult Education  and Family Literacy Act (AEFLA),Literacy Council of Montgomery County,Literacy Council Of Montgomery County,20850,2015,77909,"The Adult Education and Family Literacy Act (AEFLA), enacted as Title II of the Workforce Investment Act (WIA) of 1998, is the principal source of federal support for adult basic and literacy education programs for adults who lack basic skills, a high school diploma, or proficiency in English.",Grant,1,06/30/2015 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Jane's Place, Inc.","Jane's Place, Inc.",21502,2018,16198.34,Child Advocacy Centers,Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development/MD Economic Development Assistance Fund,ZYNGENIA INC,Zyngenia Inc,20878,2011,500064.02,MEDAAF Grant,Loan,1,06/30/2011 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,JY INC DBA MARYLAND AVE ADULT MEDICAL DAYCARE,Jy Inc Dba Maryland Ave Adult Medical Daycare,21218,2014,102734.26,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,HOPEWELL AGRI-SERVICES LLC,Hopewell Agri-services Llc,21853,2017,165687.48,Manure Transport,Grant,1,06/30/2017 12:00:00 AM
Maryland Energy Administration - LMI Community Grants,Healthy Neighborhoods (Statewide) FY15,Healthy Neighborhoods (statewide) Fy15,21202,2015,983727,Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.,Grant,1,06/30/2015 12:00:00 AM
Department of Health and Mental Hygiene/Prevention & Health Promotion Administration,Johns Hopkins University,Johns Hopkins University,21205,2014,166767,HIV Surveillance and Epidemiology,Grant,1,06/30/2014 12:00:00 AM
Judiciary/Mediation & Conflict Resolution Office,Washington County Community Mediation Center,Washington County Community Mediation Center,21740,2017,105000,Community Mediation Performance Funding at Level 5,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/MD Agricultural Fair Board,GREAT FREDERICK FAIR,Great Frederick Fair,21705,2013,121500,County Fair-in code,Grant,1,06/30/2013 12:00:00 AM
Department of Health and Mental Hygiene/Maryland Health Care Commission,Lorien Health Systems,Lorien Health Systems,21043,2015,30000,A telehealth grant to demonstrate the impact of remote patient monitoring on hospital readmissions in various settings to reduce hospital encounters,Grant,1,06/30/2015 12:00:00 AM
Department of Business and Economic Development/Office of International Trade and Investment,World Trade Center Institute,World Trade Center Institute,21202,2009,242300,Allows small/mid size company managers access to Maryland's finest companies/business leaders to help Maryland business leaders succeed to facilitate International Trade and Investment in Maryland,Grant,1,06/30/2009 12:00:00 AM
Department Of Business and Economic Development/MD Biotechnology Center,NEXIMMUNE INC,Neximmune Inc,20878,2012,100000,Biotechnology Center Grant - Translational Research Award,Grant,1,06/30/2012 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Community Advocates for Family & Youth,Community Advocates For Family & Youth,20791,2017,67161,Survivors of Homicide Grant,Grant,1,06/30/2017 12:00:00 AM
"Military Department/MARYLAND MILITARY DEPT, MEMA",MARYLAND STATE FIREMEN'S ASSOCIATION,Maryland State Firemen's Association,21401,2012,475000,MSFA WIDOWS & ORPHANS GRANT,Grant,1,06/30/2012 12:00:00 AM
Maryland Department of Education/Food Services Program,MAXIMUM DAY SERVICES LLC,Maximum Day Services Llc,21093,2012,7292.29,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Transportation/MARYLAND HIGHWAY SAFETY OFFICE,MARYLAND CHIEFS OF POLICE ASSN INC,Maryland Chiefs Of Police Assn Inc,21046-2251,2016,55254,Alcohol Impaired Driv. Countermeasure,Grant,1,06/30/2016 12:00:00 AM
Maryland Department of Education/Food Services Program,TODAYS CARE AND FAMILY ADULT MEDICAL DAYCARE INC,Todays Care And Family Adult Medical Daycare Inc,21214,2012,4472.99,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Transportation/Facilities and Capital Equip.,BRITISH AIRWAYS Total,British Airways Total,11370,2011,5500000,Aviation Agreement,Grant,1,06/30/2011 12:00:00 AM
MDP- Heritage Areas Authority,"Historic Annapolis, Inc.","Historic Annapolis, Inc.",21401,2018,57500,"FY2018 Maryland Heritage Areas Authority (MHAA) Non-Capital - the design development portion of the exhibition, ""A History of Annapolis in 99 Objects.""  FY2018 MHAA Capital - renovation of the building located at 1 Martin Street, associated with the William Paca House and Gardens. A general contractor and landscape firm will be hired to implement the construction drawings",Grant,1,06/30/2018 12:00:00 AM
Department of Health & Mental Hygiene/Family Health Services & Primary Care,ARC of Montgomery County,Arc Of Montgomery County,20852,2010,419737,Medical Day Care,Grant,1,06/30/2010 12:00:00 AM
Department of Agriculture/Cover crop,CLEARVIEW FARMS INC,"Clearview Farms, Inc.",21643,2013,67407,Cover Crop Grant,Grant,1,06/30/2013 12:00:00 AM
Department of Human Resources/Office Of Grants Management,"Domestic Violence Center of Howard Co, Inc.","Domestic Violence Center Of Howard Co, Inc.",21045,2011,289649,Funds are used to provide services to victims of crime and domestic violence,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Education/EARLY CHILDHOOD EDUCATION,COLLEGE OF NOTRE DAME OF MARYLAND,College Of Notre Dame Of Maryland,21210-2476,2014,142404,CHILDCARE DEVELOPMENT-MANDATORY AND MATCH,Grant,1,06/30/2014 12:00:00 AM
Department of Commerce - Maryland Cyber Investment Fund,Topaz Research Inc,Topaz Research Inc,20814,2015,100000,Commercialization Investment,Loan,1,06/30/2015 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Family League of Baltimore City (FLBC),Family League Of Baltimore City (flbc),21218,2011,71748.47,Disproportionate Minority Contact Reduction,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,Barbara Holdrige,Barbara Holdrige,21117,2009,230130,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Department of Housing and Community Development/Community Legacy,"Garrett County Community Action Committee, Inc.","Garrett County Community Action Committee, Inc.",21550,2009,35000,repair sidewalks and complete streetscape,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,AAA MANAGEMENT LLC,Aaa Management Llc,21216,2013,4625,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2013 12:00:00 AM
Boards and Commissions/Children's Justice Act Committee,Community Advocates for Family & Youth,Community Advocates For Family & Youth,20791,2013,189750.68,Youth Court Education,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Education/Students with Disabilities,BENEDICTINE SCHOOL FOR EXCEPTIONAL CHILDREN INC,Benedictine School For Exceptional Children Inc,21660,2012,683859,NONPUBLIC PLACEMENTS,Grant,1,06/30/2012 12:00:00 AM
Department of Business & Economic Development/MD Small Business Development Financing Authority,"Cati, Inc.","Cati, Inc.",20706,2010,550000,"Contract Finance Line of Credit of $550,000 max",Loan,1,06/30/2010 12:00:00 AM
Facilities and Capital Equipment,COACH & EQUIP / UNIFIED COMM CONNECTION,Coach & Equip / Unified Comm Connection,21031-1002,2018,362405.4,COACH & EQUIP - SMALL BUS,Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Education/Food Services Program,DEERFIELD HEALTHCARE CORP,Deerfield Healthcare Corp,21117,2012,68827.22,FOOD SERVICE - CHILD CARE,Grant,1,06/30/2012 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,"Delmarva RC&D Council, Inc.","Delmarva Rc&d Council, Inc.",21613,2013,53151.64,Natural Filters restoration projects,Grant,1,06/30/2013 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Parks & People Foundation,Parks & People Foundation,21211,2014,249008.38,Watershed 263 Environmental Site Design  (ESD) Projects and Stewardship Projects Local Implementation Grant FY2011,Grant,1,06/30/2014 12:00:00 AM
Maryland State Department of Education/STATE AIDED EDUCATIONAL INSTITUTIONS,THE JOHNS HOPKINS UNIV APPLIED PHYSICS LAB,The Johns Hopkins Univ Applied Physics Lab,20723,2017,76035,State Aided Institutions,Grant,1,06/30/2017 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Low Impact Development Center,Low Impact Development Center,20705,2016,94251.7,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2016 12:00:00 AM
Boards and Commissions/VOCA Victim Assistance Formula Grant Program,Court Appointed Special Advocate (CASA)  - Montgomery County Maryland Inc.,Court Appointed Special Advocate (casa)  - Montgomery County Maryland Inc.,20851,2013,64889.38,Volunteer Training and Support,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,ST VINCENT DE PAUL OF BALTIMORE INC,"St. Vincent De Paul Of Baltimore, Inc.",21218-5128,2014,719374.24,CASH FOR COMMODITIES- CHILD CARE,Grant,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/EE L&M Income Community Grants,Habitat for Humanity Susquehanna Harford Co.,Habitat For Humanity Susquehanna Harford Co.,21014-3646,2012,55000,EE upgrades,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture - Conservation Grants,Country Fields Inc,Country Fields Inc,21617 - 2541,2015,51353.5,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/Maryland Agricultural Land Preservation Foundation,Mr. & Mrs. Robert Stockslager,Mr. & Mrs. Robert Stockslager,21740,2009,764694.67,Purchase development rights easement on farm,Grant,1,06/30/2009 12:00:00 AM
Department of Business & Economic Development/Maryland Industrial Training Program,Maryland World Class Manufacturing Consortium LTD,Maryland World Class Manufacturing Consortium Ltd,21201,2010,62500,Maryland Industrial Training Program (MITP) Workforce Training Grant,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Planning/MDP- Heritage Areas Authority,County Council of Dorchester County,County Council Of Dorchester County,21613,2017,170626,FY 2016 & FY 2017 MHAA Grants - Operating Assistance,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,TEABOW INC,Teabow Inc,217939502,2017,143504.39,Cover Crop,Grant,1,06/30/2017 12:00:00 AM
Department of Planning/MDP - Historic Preservation Grant Program (Non-Capital Grants),"Archeological Society of Maryland, Inc.","Archeological Society Of Maryland, Inc.",21231,2010,59000,"FY 2006, 2007, 2008, 2009, 2010 Non-Capital Grants - Development and execution of archeological research and outreach activities including Maryland Archeology Month; Annual Field Session in Archeology; and the Archeological Survey and Registration Program.",Grant,1,06/30/2010 12:00:00 AM
Department of Health and Mental Hygiene/Deputy Secretary for Health Care Financing,Primary Care Coalition of Montgomery County,Primary Care Coalition Of Montgomery County,20910,2009,143952,Limiting hospital ER use to true emergencies,Grant,1,06/30/2009 12:00:00 AM
Department of Transportation/Facilities & Capital Equipment,"KFH GROUP, INCORPORATED","Kfh Group, Incorporated",20814,2010,400387,Planning Consultant,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Health/Maryland Community Health Resources Commission,"Catholic Charities, Archdiocese of DC","Catholic Charities, Archdiocese Of Dc",20001,2017,140000,Expand access to health care in underserved communities,Grant,1,06/30/2017 12:00:00 AM
Rural Maryland Council,ENERGETICS TECHNOLOGY CTR,Energetics Technology Ctr,20646,2018,115945,GRANTS TO NON-GOV ENTITIES,Grant,1,06/30/2018 12:00:00 AM
Department of Business & Economic Development/Maryland State Arts Council,"Everyman Theatre, Inc.","Everyman Theatre, Inc.",21203,2010,104734,Grant funding for Arts Organizations,Grant,1,06/30/2010 12:00:00 AM
Department of Aging/Senior Care,Garrett County Area Agency on Aging,Garrett County Area Agency On Aging,21550-1328,2010,141920,In Home Personal Client Services,Grant,1,06/30/2010 12:00:00 AM
Aid to Non Public Institutions,Hood College,Hood College,21701-8575,2018,1728101,Sellinger Formula Aid,Grant,1,06/30/2018 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Mid-Shore Council on Family Violence,Mid-shore Council On Family Violence,21601,2017,413657,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2017 12:00:00 AM
Department of Planning/MDP - Maryland Heritage Areas Authority,"Baltimore Area Convention and Visitors Association, Inc.","Baltimore Area Convention And Visitors Association, Inc.",21202,2010,77500,"FY 2009 & FY 2010 MHAA Non-Capital Grants - 1st Grant is to provide highly efficient information resources to Baltimore visitors thru personnel training regarding Baltimore's history, heritage, and attractions.  2nd Grant is to replace the imagery and install a new A-V system utilizing existing monitors.",Grant,1,06/30/2010 12:00:00 AM
Judiciary - Mediation and Conflict Resolution Office,"Community Mediation Upper Shore, Inc.","Community Mediation Upper Shore, Inc.",21620,2015,66092,"Performance-based community mediation funding, Level 4",Grant,1,06/30/2015 12:00:00 AM
